venue,citacoes,estrato,tipo,sigla_ou_issn,nome_qualis,como
Brazilian Symposium on Collaborative Systems,15,A4,evento,SBSC,Simpósio Brasileiro de Sistemas Colaborativos,apelido
IEEE Latin America Transactions,14,B1,periódico,1548-0992,REVISTA IEEE AMÉRICA LATINA,ISSN
International Journal of Advanced Computer Science and Applications,14,C,periódico,2156-5570,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS (ONLINE),ISSN
International Conference on Software Engineering and Knowledge Engineering,14,B1,evento,SEKE,International Conference on Software Engineering and Knowledge Engineering,nome
Anais do XXXIII Workshop sobre Educação em Computação (WEI 2025),14,A4,evento,WEI,Workshop sobre Educação em Computação,nome
Computer Applications in Engineering Education,14,A1,periódico,1061-3773,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,ISSN
Conference on Software Engineering Education and Training,14,,,,,não listado
"International Conference on Software Quality, Reliability and Security",14,A3,evento,QRS,"IEEE International Conference on Software Quality, Reliability, and Security",nome
International Workshop on Software Engineering for Systems-of-Systems,14,,,,,workshop/trilha
International Conference on Evaluation of Novel Approaches to Software Engineering,14,A4,evento,ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,nome
Annual International Computer Software and Applications Conference,13,A2,evento,COMPSAC,IEEE Computer Software and Applications Conference,apelido
International Conference on Information Control Systems & Technologies,13,,,,,não listado
Innovations in Systems and Software Engineering,12,B1,periódico,1614-5046,INNOVATIONS IN SYSTEMS AND SOFTWARE ENGINEERING (PRINT),ISSN
Comput. Stand. Interfaces,12,,,,,não listado
Proc. ACM Softw. Eng.,12,B3,periódico,2994-970X,PROCEEDINGS OF THE ACM ON SOFTWARE ENGINEERING (ONLINE),nome
SEET@ICSE,12,B1,evento,ICSE-SEET,ACM International Conference on Software Engineering: Software Engineering Education and Training,sigla
Anais Estendidos do XIII Congresso Brasileiro de Software: Teoria e Prática (CBSoft Estendido 2022),11,,,,,não listado
Anais do XXXI Workshop sobre Educação em Computação (WEI 2023),11,A4,evento,WEI,Workshop sobre Educação em Computação,nome
Asia-Pacific Software Engineering Conference,11,,,,,não listado
IEEE Symposium on Visual Languages / Human-Centric Computing Languages and Environments,11,A4,evento,VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,apelido
International Conference on Software Engineering Advances,11,,,,,não listado
Anais do XXXIV Workshop sobre Educação em Computação (WEI 2026),11,A4,evento,WEI,Workshop sobre Educação em Computação,nome
Education and Information Technologies : Official Journal of the IFIP technical committee on Education,11,A1,periódico,1360-2357,EDUCATION AND INFORMATION TECHNOLOGIES,ISSN
Technical Symposium on Computer Science Education,11,A1,evento,SIGCSE,ACM Technical Symposium on Computer Science Education,nome
Expert systems with applications,10,A1,periódico,0957-4174,EXPERT SYSTEMS WITH APPLICATIONS,ISSN
Programming and computer software,10,,,,,não listado
TechDebt@ICSE,10,,,,,workshop/trilha
Anais do XXXII Workshop sobre Educação em Computação (WEI 2024),10,A4,evento,WEI,Workshop sobre Educação em Computação,nome
International Conference on Software Reuse,10,,,,,não listado
2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Society (ICSE-SEIS),10,B1,evento,ICSE-SEIS,International Conference on Software Engineering: Software Engineering in Society,nome
Interacción,10,B2,periódico,2695-6578,INTERACCIÓN,nome
ITiCSE-WGR,10,,,,,não listado
Italian National Conference on Sensors,10,A4,periódico,1424-8220,SENSORS (BASEL),ISSN
Sustainability,10,A3,periódico,2071-1050,SUSTAINABILITY (BASEL),ISSN
Electronics,10,B1,periódico,2079-9292,ELECTRONICS,nome
International Conference of the Chilean Computer Science Society,10,B1,evento,SCCC,International Conference of the Chilean Computer Science Society,nome
IEEE International Symposium on Software Reliability Engineering,10,A2,evento,ISSRE,IEEE International Symposium on Software Reliability Engineering,nome
ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,9,A2,evento,MODELS,International Conference on Model Driven Engineering Languages and Systems,nome
Social Science Research Network,9,A1,periódico,1556-5068,COMPARATIVE LAW EJOURNAL,ISSN
International journal of software engineering and knowledge engineering,9,B1,periódico,0218-1940,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,ISSN
"Software testing, verification & reliability",9,A4,periódico,0960-0833,"SOFTWARE TESTING, VERIFICATION & RELIABILITY",ISSN
European Conference on Software Architecture,9,A3,evento,ECSA,European Conference on Software Architecture,nome
Journal of King Saud University: Computer and Information Sciences,9,A1,periódico,1319-1578,JOURNAL OF KING SAUD UNIVERSITY - COMPUTER AND INFORMATION SCIENCES,ISSN
Revista Brasileira de Informática na Educ.,9,,,,,não listado
Braz. J. Inf. Syst.,9,A4,periódico,1984-2902,ISYS: REVISTA BRASILEIRA DE SISTEMAS DE INFORMAÇÃO,apelido
International Workshop on Variability Modelling of Software-Intensive Systems,9,A3,evento,VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,nome
Anais do VI Simpósio Brasileiro de Educação em Computação (EDUCOMP 2026),9,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
2009 XXIII Brazilian Symposium on Software Engineering,9,A3,evento,SBES,Brazilian Symposium on Software Engineering,nome
Anais do IV Simpósio Brasileiro de Educação em Computação (EDUCOMP 2024),9,B1,evento,EDUCOMP,Simpósio Brasileiro de Educação em Computação,nome
Cadernos do IME - Série Informática,8,C,periódico,1413-9014,CADERNOS DO IME. SÉRIE INFORMÁTICA,ISSN
